filename,SAT4J SAT/UNSAT,SAT4J nodeCount,SAT4J time
traffic_3_uc_sat.cnf.bz2,SAT,296719,484.396149873734
sat-grid-pbl-0200.sat05-1339.reshuffled-07.cnf.bz2,SAT,117972416,135.487114191055
grid-pbl-0150.shuffled-as.sat05-1338.shuffled-as.sat05-1338.cnf.bz2,SAT,157539303,272.50146317482
aaai10-planning-ipc5-pipesworld-12-step16.cnf.bz2,SAT,409584,459.480366945267
unif-k5-r21.3-v75-c1597-S25975519-056.SATISFIABLE.cnf.bz2,SAT,6638508,582.271183013916
unif-k7-r89-v50-c4450-S864690872-081.SATISFIABLE.cnf.bz2,SAT,4470807,437.627941131592
traffic_r_sat.cnf.bz2,SAT,703593,383.890450000763
total-10-17-s.cnf.bz2,SAT,193960,131.296988010406
gss-14-s100.cnf.bz2,SAT,137656,282.392511844635
VanDerWaerden_pd_2-3-22_462.cnf.bz2,SAT,2717077,333.843075037003
rbsat-v760c43649g5.cnf.bz2,SAT,462651,120.064205884933
rnd_100_32_s.cnf.bz2,SAT,877059,241.390784978867
mod2c-rand3bip-sat-220-2.sat05-2489.reshuffled-07.cnf.bz2,SAT,1903056,373.93755197525
mod2c-rand3bip-sat-210-1.shuffled-as.sat05-2473.cnf.bz2,SAT,1161263,294.543323040009
cube-11-h14-sat.cnf.bz2,SAT,99348,465.758569002151
sgen3-n140-s18527668-sat.cnf.bz2,SAT,4593238,404.479598999023
mizh-md5-47-3.cnf.bz2,SAT,7974808,408.20511007309
ndhf_xits_19_UNKNOWN.cnf.bz2,SAT,775487,138.22386097908
mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.cnf.bz2,SAT,732258,236.323904037476
