filename,SAT4J SAT/UNSAT,SAT4J nodeCount,SAT4J time
unif-k3-r4.26-v300-c1278-S1452052526-056.UNKNOWN.cnf.bz2,UNSAT,284359,22.3668160439
battleship-12-12-unsat.cnf.bz2,UNSAT,1712428,231.2791488171
aaai10-planning-ipc5-pipesworld-27-step13.cnf.bz2,UNSAT,96278,257.5359859467
hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf.bz2,UNSAT,643570,183.5838589668
VanDerWaerden_pd_2-3-21_401.cnf.bz2,UNSAT,2598276,264.3946971893
aaai10-planning-ipc5-rovers-18-step11.cnf.bz2,UNSAT,376137,87.5546240807
E02F20.cnf.bz2,SAT,1543235,247.5473349094
E04F20.cnf.bz2,SAT,1054908,177.3397219181
unif-k3-r4.26-v350-c1491-S1914191877-004.SATISFIABLE.cnf.bz2,SAT,4076766,362.6201519966
E04F19.cnf.bz2,SAT,1441752,169.5084810257
rnd_100_28_s.cnf.bz2,SAT,734269,157.9456090927
srhd-sgi-m27-q225-n25-p15-s58217873.cnf.bz2,SAT,338062,141.9850490093
rnd_150_42_s.cnf.bz2,SAT,437996,272.2626669407
